semana,total_pedidos,tipo
2016-09-12 00:00:00,1,Historico
2016-09-19 00:00:00,0,Historico
2016-09-26 00:00:00,0,Historico
2016-10-03 00:00:00,211,Historico
2016-10-10 00:00:00,54,Historico
2016-10-17 00:00:00,0,Historico
2016-10-24 00:00:00,0,Historico
2016-10-31 00:00:00,0,Historico
2016-11-07 00:00:00,0,Historico
2016-11-14 00:00:00,0,Historico
2016-11-21 00:00:00,0,Historico
2016-11-28 00:00:00,0,Historico
2016-12-05 00:00:00,0,Historico
2016-12-12 00:00:00,0,Historico
2016-12-19 00:00:00,1,Historico
2016-12-26 00:00:00,0,Historico
2017-01-02 00:00:00,40,Historico
2017-01-09 00:00:00,63,Historico
2017-01-16 00:00:00,173,Historico
2017-01-23 00:00:00,330,Historico
2017-01-30 00:00:00,390,Historico
2017-02-06 00:00:00,524,Historico
2017-02-13 00:00:00,403,Historico
2017-02-20 00:00:00,344,Historico
2017-02-27 00:00:00,436,Historico
2017-03-06 00:00:00,552,Historico
2017-03-13 00:00:00,598,Historico
2017-03-20 00:00:00,617,Historico
2017-03-27 00:00:00,545,Historico
2017-04-03 00:00:00,559,Historico
2017-04-10 00:00:00,442,Historico
2017-04-17 00:00:00,508,Historico
2017-04-24 00:00:00,662,Historico
2017-05-01 00:00:00,714,Historico
2017-05-08 00:00:00,747,Historico
2017-05-15 00:00:00,879,Historico
2017-05-22 00:00:00,807,Historico
2017-05-29 00:00:00,799,Historico
2017-06-05 00:00:00,802,Historico
2017-06-12 00:00:00,750,Historico
2017-06-19 00:00:00,623,Historico
2017-06-26 00:00:00,703,Historico
2017-07-03 00:00:00,808,Historico
2017-07-10 00:00:00,907,Historico
2017-07-17 00:00:00,943,Historico
2017-07-24 00:00:00,880,Historico
2017-07-31 00:00:00,963,Historico
2017-08-07 00:00:00,926,Historico
2017-08-14 00:00:00,995,Historico
2017-08-21 00:00:00,850,Historico
2017-08-28 00:00:00,971,Historico
2017-09-04 00:00:00,870,Historico
2017-09-11 00:00:00,1143,Historico
2017-09-18 00:00:00,969,Historico
2017-09-25 00:00:00,913,Historico
2017-10-02 00:00:00,975,Historico
2017-10-09 00:00:00,1037,Historico
2017-10-16 00:00:00,1070,Historico
2017-10-23 00:00:00,973,Historico
2017-10-30 00:00:00,892,Historico
2017-11-06 00:00:00,1135,Historico
2017-11-13 00:00:00,1272,Historico
2017-11-20 00:00:00,2690,Historico
2017-11-27 00:00:00,2202,Historico
2017-12-04 00:00:00,1674,Historico
2017-12-11 00:00:00,1421,Historico
2017-12-18 00:00:00,1025,Historico
2017-12-25 00:00:00,843,Historico
2018-01-01 00:00:00,1220,Historico
2018-01-08 00:00:00,1701,Historico
2018-01-15 00:00:00,1745,Historico
2018-01-22 00:00:00,1584,Historico
2018-01-29 00:00:00,1513,Historico
2018-02-05 00:00:00,1573,Historico
2018-02-12 00:00:00,1561,Historico
2018-02-19 00:00:00,1681,Historico
2018-02-26 00:00:00,1852,Historico
2018-03-05 00:00:00,1611,Historico
2018-03-12 00:00:00,1545,Historico
2018-03-19 00:00:00,1694,Historico
2018-03-26 00:00:00,1418,Historico
2018-04-02 00:00:00,1573,Historico
2018-04-09 00:00:00,1486,Historico
2018-04-16 00:00:00,1657,Historico
2018-04-23 00:00:00,1679,Historico
2018-04-30 00:00:00,1696,Historico
2018-05-07 00:00:00,1944,Historico
2018-05-14 00:00:00,1852,Historico
2018-05-21 00:00:00,999,Historico
2018-05-28 00:00:00,986,Historico
2018-06-04 00:00:00,1421,Historico
2018-06-11 00:00:00,1536,Historico
2018-06-18 00:00:00,1396,Historico
2018-06-25 00:00:00,1421,Historico
2018-07-02 00:00:00,1219,Historico
2018-07-09 00:00:00,942,Historico
2018-07-16 00:00:00,1584,Historico
2018-07-23 00:00:00,1641,Historico
2018-07-30 00:00:00,1915,Historico
2018-08-06 00:00:00,2009,Historico
2018-08-13 00:00:00,1826,Historico
2018-08-20 00:00:00,1185,Historico
2018-08-27 00:00:00,1256.4647177203592,Prediccion
2018-09-03 00:00:00,1252.8697570778156,Prediccion
2018-09-10 00:00:00,1241.9433169973408,Prediccion
2018-09-17 00:00:00,1237.013634733212,Prediccion
2018-09-24 00:00:00,1308.4783429753847,Prediccion
2018-10-01 00:00:00,1304.8833823328412,Prediccion
2018-10-08 00:00:00,1293.9569422523662,Prediccion
2018-10-15 00:00:00,1289.0272599882373,Prediccion
