order_id,customer_id,product_id,seller_id,categoria,fecha_compra,fecha_aprobacion,fecha_despacho,fecha_entrega_real,fecha_entrega_estimada,dias_aprobacion,dias_preparacion_bodega,dias_transporte,dias_tiempo_total,dias_delta_promesa,status_entrega
ecab90c9933c58908d3d6add7c6f5ae3,761df82feda9778854c6dafdaeb567e4,c0db539123a403f670c50237d970b215,f7720c4fa8e3aba4546301ab80ea1f1b,ferramentas_jardim,2018-02-25 13:50:30 UTC,2018-02-25 14:47:35 UTC,2018-02-26 22:28:50 UTC,2018-03-27 23:29:14 UTC,2018-04-13 00:00:00 UTC,0,1,29,30,16,A tiempo
8563039e855156e48fccee4d611a3196,5f16605299d698660e0606f7eae2d2f9,bff2010b28e8fbcff5a9db9d3fea5ac4,955fee9216a65b617aa5c0531780ce60,ferramentas_jardim,2018-02-17 15:59:46 UTC,2018-02-17 16:15:34 UTC,2018-02-20 23:03:56 UTC,2018-03-20 00:59:25 UTC,2018-03-20 00:00:00 UTC,0,3,27,30,0,A tiempo
6ea2f835b4556291ffdc53fa0b3b95e8,c7340080e394356141681bd4c9b8fe31,be021417a6acb56b9b50d3fd2714baa8,f5f46307a4d15880ca14fab4ad9dfc9b,utilidades_domesticas,2017-11-24 21:27:48 UTC,2017-11-25 00:21:09 UTC,2017-12-13 21:14:05 UTC,2017-12-28 18:59:23 UTC,2017-12-21 00:00:00 UTC,0.083333333333333329,18,14,33,-7,Con Retraso
6a0a8bfbbe700284feb0845d95e0867f,68451b39b1314302c08c65a29f1140fc,f8a8f05a35976a91aed5cccc3992c357,4a3ca9315b744ce9f8e9374361493884,moveis_decoracao,2017-11-22 11:32:22 UTC,2017-11-22 11:46:50 UTC,2017-11-27 13:39:35 UTC,2017-12-28 19:43:00 UTC,2017-12-11 00:00:00 UTC,0,5,31,36,-17,Con Retraso
9d531c565e28c3e0d756192f84d8731f,d4faa220408c20e53595d2950f361f3b,807b2de93dbb064bbc82dc6ac963bc61,903037660cf848a717166eb7a06d616e,moveis_decoracao,2017-11-28 21:00:44 UTC,2017-12-01 09:31:15 UTC,2017-12-14 20:37:43 UTC,2018-01-23 21:38:52 UTC,2017-12-22 00:00:00 UTC,2.5,13,40,56,-32,Con Retraso
8fc207e94fa91a7649c5a5dab690272a,c69f8b33e62ecb30ff78ae46d7fb9241,f2e53dd1670f3c376518263b3f71424d,4a3ca9315b744ce9f8e9374361493884,cama_mesa_banho,2017-11-26 17:49:46 UTC,2017-11-26 17:58:34 UTC,2017-11-28 23:17:09 UTC,2018-01-20 13:42:22 UTC,2017-12-19 00:00:00 UTC,0,2,52,54,-32,Con Retraso
f31535f21d145b2345e2bf7f09d62322,ed532487db04478dfba09d112649fc13,f196248e8b5d060cca414a664ea9a76f,91f0eec23d4a61d7d7caeefa3f0ad1ca,automotivo,2018-02-01 07:47:34 UTC,2018-02-01 08:10:31 UTC,2018-02-02 00:24:34 UTC,2018-04-23 15:49:34 UTC,2018-03-05 00:00:00 UTC,0,0,80,81,-49,Con Retraso
06ae7271902bbb087fc093137fee6e81,1a1b5f9e903aa3c203caf5cb63fca2b1,da0bb22eb8eb2bce31a3784570528efb,3d871de0142ce09b7081e2b9d1733cb1,papelaria,2018-01-19 21:07:32 UTC,2018-01-20 09:09:35 UTC,2018-01-29 20:17:05 UTC,2018-02-20 19:27:20 UTC,2018-02-22 00:00:00 UTC,0.5,9,21,31,1,A tiempo
4906eeadde5f70b308c20c4a8f20be02,4e7656e34357b93f14b40c6400ca3f6e,ee406bf28024d97771c4b1e8b7e8e219,7a67c85e85bb2ce8582c35f2203ad736,cool_stuff,2017-12-08 04:45:26 UTC,2017-12-12 03:50:30 UTC,2017-12-12 17:43:21 UTC,2018-01-09 18:04:58 UTC,2018-01-03 00:00:00 UTC,3.9583333333333335,0,28,32,-6,Con Retraso
bca3dc20a3ec02261c5b17dc270e9e65,90065cd5c7c581bf099b1b9bd589a3fe,617186c3d97ea56c9c683a8a3974e8c1,cc419e0650a3c5ba77189a1882b7556a,perfumaria,2017-12-05 10:34:52 UTC,2017-12-06 02:50:38 UTC,2017-12-08 21:41:59 UTC,2018-01-04 16:57:16 UTC,2018-01-05 00:00:00 UTC,0.66666666666666663,2,26,30,0,A tiempo
f11e9516ca2b6091b64f2e2ea0ebebb3,7d527c98f408420a9d5c953e5b89215e,7a10781637204d8d10485c71a6108a2e,4869f7a5dfa277a7dca6462dcf3b52b2,relogios_presentes,2018-02-22 20:53:14 UTC,2018-02-22 21:28:02 UTC,2018-02-23 23:19:09 UTC,2018-03-28 22:04:44 UTC,2018-03-19 00:00:00 UTC,0,1,32,34,-9,Con Retraso
38c1e3d4ed6a13cd0cf612d4c09766e9,18c934f4cdc994cd04eb13bce3f47a18,73c92dd0decac87c55334f6ae653ad36,080199a181c46c657dc5aa235411be3b,automotivo,2018-02-02 15:26:38 UTC,2018-02-02 16:00:16 UTC,2018-02-03 01:18:26 UTC,2018-02-03 15:05:56 UTC,2018-02-20 00:00:00 UTC,0,0,0,0,16,A tiempo
da8be3bb62e9bf01e2e1a3bfd74ebd1a,3f083b9f62e687be8d84684c7d54c8db,cea7edf64d9e93fbf6b89cc3ba537cd9,a4b6b9b992b46e9ef863637af96e04bc,ferramentas_jardim,2017-04-06 13:44:08 UTC,2017-04-06 13:55:17 UTC,2017-04-08 01:37:04 UTC,2017-05-08 10:52:06 UTC,2017-05-04 00:00:00 UTC,0,1,30,31,-4,Con Retraso
690199d6a2c51ff57c6b392d7680cbfd,19bacb562bd43bd4eaf05b6c0a59dad0,75d6b6963340c6063f7f4cfcccfe6a30,cc419e0650a3c5ba77189a1882b7556a,perfumaria,2018-03-16 11:31:18 UTC,2018-03-16 11:49:14 UTC,2018-03-19 19:56:23 UTC,2018-05-14 12:28:56 UTC,2018-04-11 00:00:00 UTC,0,3,55,59,-33,Con Retraso
7b58fca3faf09217a36d5febee5739a5,0966fbba1c0e8c5e26e31166c2fd3ce8,b8a0d73b2a06e7910d9864dccdb0cda2,620c87c171fb2a6dd6e8bb4dec959fc6,beleza_saude,2018-03-04 22:59:50 UTC,2018-03-04 23:15:32 UTC,2018-03-06 16:49:08 UTC,2018-04-12 21:04:01 UTC,2018-03-28 00:00:00 UTC,0,1,37,38,-15,Con Retraso
